Market_ID,Product,Market_Price_per_ton,Demand_Index,Supply_Index,Competitor_Price_per_ton,Economic_Indicator,Weather_Impact_Score,Seasonal_Factor,Consumer_Trend_Index
1,Rice,180.25121194379304,196.08590024522442,199.50912420379746,300.54921926429597,1.0936360337259488,28.474810310762855,Medium,148.47213120880434
2,Rice,420.52796955955307,188.45240008580845,150.789482977595,492.097797644394,0.5263068815761089,70.97806264396277,High,97.298888055855
3,Wheat,457.2603975211701,171.17938395811063,78.98932630036724,323.00334230465387,1.29239334879865,80.8535915904238,Low,131.11323556467687
4,Soybean,237.179112551829,196.9706768450852,50.4643632616135,232.97838439741784,0.6276625652836847,60.67606900603602,Low,95.16941688755813
5,Wheat,324.03292488473636,113.1654156060176,145.87864681183396,312.4286524084579,1.4912549939856778,45.37951565090168,Low,130.29713833906067
6,Corn,389.6482051471298,123.08872887995155,190.90647508558038,181.9354392180609,0.8761502603945046,81.36985531316705,Low,77.2462149238768
7,Rice,155.895188144545,70.19881112051145,96.26801740608892,265.91717982680296,1.2288140302963222,88.33181027078815,High,107.44703972517948
8,Rice,321.72672767442924,138.08056196371842,52.25519030051087,187.6757450370232,1.477784895562792,14.62418964703357,Low,103.23949343906654
9,Soybean,447.4117730632625,188.31754490852956,171.82949278671953,210.50295551774195,0.7078028072550187,29.150676979735856,Low,141.3236949772548
10,Corn,218.1278684265388,58.50185556856946,92.43983301044584,428.6728759362409,0.7914939154695304,78.8949674803272,High,80.2211556664995
11,Corn,101.52623915610275,181.36464986910704,166.2452303664653,230.7667057918162,1.0061762954503388,16.036417519373224,Low,122.9633370115736
12,Soybean,315.85092987373474,69.4157953220386,69.54926183390535,246.52370996895948,0.6754880597085773,44.73947945491972,High,102.82860403852186
13,Soybean,101.04046583056095,92.38147818458955,183.4058090165427,315.60800797965624,0.9398785226345455,55.763232282130446,High,123.69605580683312
14,Soybean,481.94841517479534,164.5570086363353,117.89743276774203,315.894413578798,0.996883786192946,81.29448800288094,Medium,103.26755893389185
15,Soybean,324.5391102603418,157.49825355053477,116.26366768649655,132.3907034035726,0.8134407122486008,44.116718036294245,High,122.43708870746678
16,Corn,400.6447487209915,192.60030048359053,68.85381701077962,268.40720091667856,0.8406059954568866,98.0521766129821,Medium,127.10724508800004
17,Corn,173.45643527061497,155.78170148671342,178.78195544912433,413.24060391967765,1.3188207892136972,96.2136273919483,High,136.54608155847745
18,Wheat,278.4398527914186,77.77189944311156,149.18930606829935,198.93250240586974,1.2175410667553193,90.51139623300169,High,117.97323952944393
19,Rice,323.3255468115835,176.68855007077616,106.14257680280646,289.98134360703386,0.5978507465563598,66.60179446870713,Low,67.47356846332355
20,Soybean,468.08534637097773,64.18598493416194,108.30769511092905,375.33084499206666,0.9957607808823131,67.39407678002567,Low,124.14265952531115
21,Soybean,404.3796066798186,170.12732957924175,198.9322484582829,367.5274051914306,1.195187014934815,72.08959196466841,High,92.8842203722817
22,Wheat,444.2102233468652,132.45943830884892,85.20097918199315,355.1809845681516,1.2960913631131243,8.891188062752187,Low,63.84891718921331
23,Soybean,172.04503923748314,59.481856135078324,147.06989932492786,238.90340367352854,0.5949509050175678,25.84204125337408,Low,75.50011835565475
24,Wheat,431.8034792818116,101.57379387931167,62.578446491784575,393.4910002637361,0.8898999419714463,5.924634912520432,High,88.92093600553497
25,Soybean,114.62821728873185,74.28030829649103,156.89428184833744,312.01027586852763,0.7926853430049421,96.59828168313057,Low,92.2220857858907
26,Corn,111.17576201444686,165.98316227055582,80.40521976817575,374.2801577076763,1.361893435938157,53.37319614710333,High,61.3074879968905
27,Soybean,443.2644718458053,176.67465539540592,163.34341019096973,489.31539884979804,0.6639799275587567,23.220849964990066,High,69.99078955312456
28,Corn,325.80608119381606,83.30355952009143,191.68744427750948,422.01777110843494,0.9165785981105095,25.45412151498436,High,84.23895148171619
29,Corn,178.39574761159275,138.52377467801028,54.68187513321447,370.96198495712514,1.045178462583341,95.0412528786092,Low,120.57099682473512
30,Rice,323.4505643821353,88.05527465831184,105.80192874326217,282.04049827490866,0.7023239124117127,38.971451595666785,Medium,92.477425199605
31,Soybean,233.91171882174316,180.95067609173498,149.41011746036622,216.2795193748894,1.3731136835047404,8.881386391401314,High,74.9431284384524
32,Rice,284.2910531916458,190.4944879091276,109.82786531121664,334.20955325294824,1.3770039950374429,22.797737530869167,Low,123.35342793701636
33,Rice,426.99328668626333,66.85687441609332,73.33422299655902,166.84376039274733,1.4116215192869785,36.30247044148278,High,56.25829364117263
34,Corn,240.24212356673104,129.24588625152586,76.1258513452617,149.05125562900764,0.6647015074310966,18.362396990748863,High,50.595019190837235
35,Corn,419.87995300664267,187.06816235053117,164.57811954468576,382.46982659607687,1.4104332604287757,26.963404523274505,Low,142.60793698794674
36,Wheat,299.44066385627,140.10055940131352,150.00297521857817,387.12786192601783,1.1532169402031998,38.26682938779113,Medium,65.51905022681622
37,Soybean,295.2327419300015,194.42429221223875,93.04654764764825,150.48662433892991,1.412597582698152,85.1836953161903,Medium,141.88117778539754
38,Corn,251.5614862336316,152.4916613218893,86.19684734857944,440.99437478637554,1.0794260346028532,46.050542975777795,High,60.87622273278423
39,Soybean,335.0521256601979,121.07909559462577,195.19147331516012,149.9135958182793,1.2912427201566468,5.946042638178395,Low,89.98879425002036
40,Wheat,345.235916851536,77.27913977149157,107.52176713670781,370.8462120665575,1.0689836243798037,72.91897659577732,Medium,129.21768738047388
41,Rice,464.68305845196204,126.74170598350119,114.07409413462902,281.5224349457146,1.3015670771276306,56.58337697797586,Low,134.80014865668437
42,Corn,255.93340940024936,192.2274297103855,62.986345012959475,174.10721247810218,0.9854737417723595,99.29508188937179,Medium,145.34584133904838
43,Rice,152.21920996277134,193.0303383287393,78.37377754113075,295.82019258868047,1.324473892637731,15.20197875816579,Medium,56.951464765957695
44,Wheat,370.64816908513075,59.6372625864924,179.48005538996543,177.22834718870507,1.2408142224831535,60.810457306399194,Medium,86.06229095985854
45,Soybean,319.74659491180785,52.30308963383878,183.1776813096845,329.96339843981,0.8085065844763797,17.55839233155444,Low,148.12385881087658
46,Wheat,112.30191051913465,82.29103833444864,107.62215341010318,277.6500995184695,1.4003436006886762,79.76412528034953,Medium,88.94193805438397
47,Wheat,370.8150587276859,119.52744128144136,65.95910800948394,196.48901839559232,1.313782210161019,70.1454241715339,Low,118.21952421052526
48,Rice,424.5490732063785,98.58569836600184,71.82901897209665,202.96359310086024,1.0940769660916247,37.56216290823063,Medium,66.97862964034664
49,Rice,162.59450521018329,141.0507063261039,130.9977940365926,359.9436400488157,1.2190492919919196,14.537260302487232,Medium,76.9862573915384
50,Corn,316.53829014830194,159.69850038727833,52.62016264954751,222.06368719511653,1.2956049050269476,89.48032716843136,High,91.34361965691392
